pokemon_id,move_type,move_name,damage,eps,dps
8-wartortle,main,Rayo Hielo,90,-15.2,27.3
8-wartortle,main,Acua Jet,45,-12.7,20.8
8-wartortle,main,Hidrobomba,130,-30.3,47.3
8-wartortle,main,Frustración Shadow,10,-16.5,5
8-wartortle,main,Retribución Purified,35,-47.1,50
9-blastoise,fast,Mordisco,6,8,12
9-blastoise,fast,Pistola Agua,5,10,12
9-blastoise,main,Foco Resplandor,100,-37,37
9-blastoise,main,Rayo Hielo,90,-15.2,27.3
9-blastoise,main,Hidrobomba,130,-30.3,47.3
9-blastoise,main,Cabezazo,130,-32.3,41.9
9-blastoise,main,Hidrocañón Elite TM,90,-26.3,56.8
9-blastoise,main,Frustración Shadow,10,-16.5,5
9-blastoise,main,Retribución Purified,35,-47.1,50
10-caterpie,fast,Picadura,5,12,12
10-caterpie,fast,Placaje,5,10,10
10-caterpie,main,Combate,35,0,15.9
11-metapod,fast,Picadura,5,12,12
11-metapod,fast,Placaje,5,10,10
11-metapod,main,Combate,35,0,15.9
12-butterfree,fast,Picadura Elite TM,5,12,12
12-butterfree,fast,Confusión,20,9.4,12.5
12-butterfree,fast,Estoicismo,15,10,12
12-butterfree,main,Zumbido,100,-13.5,32.4
12-butterfree,main,Psíquico,90,-17.9,32.1
12-butterfree,main,Doble Rayo,75,-17.2,31
13-weedle,fast,Picadura,5,12,12
13-weedle,fast,Picotazo Veneno,5,11.7,10
13-weedle,main,Combate,35,0,15.9
13-weedle,main,Frustración Shadow,10,-16.5,5
13-weedle,main,Retribución Purified,35,-47.1,50
14-kakuna,fast,Picadura,5,12,12
14-kakuna,fast,Picotazo Veneno,5,11.7,10
14-kakuna,main,Combate,35,0,15.9
14-kakuna,main,Frustración Shadow,10,-16.5,5
14-kakuna,main,Retribución Purified,35,-47.1,50
15-beedrill,fast,Puya Nociva,10,8.8,15
15-beedrill,fast,Acoso,10,12.7,10.9
15-beedrill,fast,Picadura Elite TM,5,12,12
15-beedrill,main,Golpe Aéreo,55,-13.8,22.9
15-beedrill,main,Bomba Lodo,80,-21.7,41.7
15-beedrill,main,Tijera X,45,-20.6,33.8
15-beedrill,main,Aguijón Letal,50,-15,27.3
15-beedrill,main,Taladradora Elite TM,80,-17.9,28.6
15-beedrill,main,Frustración Shadow,10,-16.5,5
15-beedrill,main,Retribución Purified,35,-47.1,50
16-pidgey,fast,Ataque Rápido,8,12.5,12
16-pidgey,fast,Placaje,5,10,12
16-pidgey,main,Ciclón,45,-11.8,16.1
16-pidgey,main,Golpe Aéreo,55,-13.8,27.5
16-pidgey,main,Aire Afilado,60,-18.5,26.7
17-pidgeotto,fast,Ataque Ala,8,11.3,12
17-pidgeotto,fast,Ala de Acero,11,7.5,13.8
17-pidgeotto,main,Ciclón,45,-11.8,16.1
17-pidgeotto,main,Golpe Aéreo,55,-13.8,27.5
17-pidgeotto,main,Aire Afilado,60,-18.5,26.7
18-pidgeot,fast,Ataque Ala Elite TM,8,11.3,12
18-pidgeot,fast,Ala de Acero,11,7.5,13.8
18-pidgeot,fast,Tajo Aéreo,14,8.3,14
18-pidgeot,fast,Tornado Elite TM,25,10,15
18-pidgeot,main,Vendaval,110,-37,48.9
18-pidgeot,main,Golpe Aéreo,55,-13.8,27.5
18-pidgeot,main,Aire Afilado Elite TM,60,-18.5,26.7
18-pidgeot,main,Pájaro Osado,130,-50,78
18-pidgeot,main,Danza Pluma,35,-17.9,15
19-rattata,fast,Ataque Rápido,8,12.5,12
19-rattata,fast,Placaje,5,10,12
19-rattata,main,Excavar,100,-10.6,21.3
19-rattata,main,Hipercolmillo,80,-20,38.4
19-rattata,main,Golpe Cuerpo,50,-17.4,31.6
19-rattata,main,Frustración Shadow,10,-16.5,6
19-rattata,main,Retribución Purified,35,-47.1,60
20-raticate,fast,Mordisco,6,8,12
20-raticate,fast,Ataque Rápido,8,12.5,12
20-raticate,main,Hiperrayo,150,-26.3,47.4
20-raticate,main,Excavar,100,-10.6,21.3
20-raticate,main,Hipercolmillo,80,-20,38.4
20-raticate,main,Frustración Shadow,10,-16.5,6
20-raticate,main,Retribución Purified,35,-47.1,60
21-spearow,fast,Picotazo,10,10,12
21-spearow,fast,Ataque Rápido,8,12.5,12
21-spearow,main,Golpe Aéreo,55,-13.8,27.5
21-spearow,main,Pico Taladro,65,-14.3,33.9
21-spearow,main,Ciclón Elite TM,45,-11.8,16.1
21-spearow,main,Ataque Aéreo,80,-25,48
22-fearow,fast,Picotazo,10,10,12
22-fearow,fast,Ala de Acero,11,7.5,13.8
22-fearow,main,Golpe Aéreo,55,-13.8,27.5
22-fearow,main,Taladradora,80,-17.9,28.6
22-fearow,main,Ciclón Elite TM,45,-11.8,16.1
22-fearow,main,Ataque Aéreo,80,-25,48
23-ekans,fast,Ácido,9,10,13.5
23-ekans,fast,Picotazo Veneno,5,11.7,10
23-ekans,main,Constricción,60,-11.4,20.7
23-ekans,main,Colmillo Veneno,35,-19.4,24.7
23-ekans,main,Bomba Lodo,80,-21.7,41.7
23-ekans,main,Lanzamugre Elite TM,130,-32.3,50.3
23-ekans,main,Frustración Shadow,10,-16.5,5
23-ekans,main,Retribución Purified,35,-47.1,50
24-arbok,fast,Mordisco,6,8,12
24-arbok,fast,Ácido,9,10,13.5
24-arbok,fast,Cola Dragón,15,8.2,13.6
24-arbok,main,Pulso Umbrío,80,-16.7,26.7
24-arbok,main,Onda Tóxica,110,-31.3,41.3
24-arbok,main,Lanzamugre,130,-32.3,50.3
24-arbok,main,Bomba Ácida,20,-16.7,8
24-arbok,main,Frustración Shadow,10,-16.5,5
24-arbok,main,Retribución Purified,35,-47.1,50
172-pichu,fast,Impactrueno,5,13.3,10
172-pichu,fast,Ataque Rápido Legacy,8,12.5,10
172-pichu,main,Puño Trueno,45,-18.3,30
172-pichu,main,Rayo,80,-20,38.4
172-pichu,main,Voz Cautivadora,70,-8.5,17.9
25-pikachu,fast,Impactrueno,5,13.3,10
25-pikachu,fast,Ataque Rápido,8,12.5,10
25-pikachu,fast,Presente Elite TM,5,15.4,3.8
25-pikachu,main,Chispazo,65,-13.2,31.2
25-pikachu,main,Rayo,80,-20,38.4
25-pikachu,main,Voltio Cruel,90,-19.2,41.5
25-pikachu,main,Trueno Elite TM,100,-41.7,50
25-pikachu,main,Surf Elite TM,65,-29.4,38.2
26-raichu,fast,Chispa,6,12.9,10.3
26-raichu,fast,Voltiocambio,14,13.1,10.5
26-raichu,fast,Impactrueno,5,13.3,10
26-raichu,fast,Encanto,20,7.3,13.3
26-raichu,main,Puño Trueno,45,-18.3,30
26-raichu,main,Demolición,40,-20.6,25
26-raichu,main,Voltio Cruel,90,-19.2,41.5
26-raichu,main,Trueno Elite TM,100,-41.7,50
26-raichu,main,Cabezazo,130,-32.3,41.9
27-sandshrew,fast,Disparo Lodo,5,11.7,10
27-sandshrew,fast,Arañazo,6,8,12
27-sandshrew,main,Excavar,100,-10.6,25.5
27-sandshrew,main,Avalancha,80,-18.5,29.6
27-sandshrew,main,Bucle Arena,60,-8.3,18
27-sandshrew,main,Tumba Rocas Elite TM,70,-15.6,21.9
27-sandshrew,main,Frustración Shadow,10,-16.5,5
27-sandshrew,main,Retribución Purified,35,-47.1,50
28-sandslash,fast,Disparo Lodo,5,11.7,10
28-sandslash,fast,Garra Metal,8,10,11.4
28-sandslash,main,Terremoto,140,-27.8,46.7
28-sandslash,main,Tumba Rocas,70,-15.6,21.9
28-sandslash,main,Terratemblor,80,-14.3,27.4
28-sandslash,main,Tajo Umbrío Elite TM,50,-15,22.7
28-sandslash,main,Frustración Shadow,10,-16.5,5
28-sandslash,main,Retribución Purified,35,-47.1,50
29-nidoran,fast,Mordisco,6,8,12
29-nidoran,fast,Picotazo Veneno,5,11.7,10
29-nidoran,main,Colmillo Veneno,35,-19.4,24.7
29-nidoran,main,Bomba Lodo,80,-21.7,41.7
29-nidoran,main,Golpe Cuerpo,50,-17.4,26.3
29-nidoran,main,Frustración Shadow,10,-16.5,5
29-nidoran,main,Retribución Purified,35,-47.1,50
30-nidorina,fast,Mordisco,6,8,12
30-nidorina,fast,Picotazo Veneno,5,11.7,10
30-nidorina,main,Excavar,100,-10.6,21.3
30-nidorina,main,Colmillo Veneno,35,-19.4,24.7
30-nidorina,main,Bomba Lodo,80,-21.7,41.7
30-nidorina,main,Rayo,80,-20,32
30-nidorina,main,Frustración Shadow,10,-16.5,5
30-nidorina,main,Retribución Purified,35,-47.1,50
31-nidoqueen,fast,Mordisco,6,8,12
31-nidoqueen,fast,Puya Nociva,10,8.8,15
31-nidoqueen,main,Terremoto,140,-27.8,46.7
31-nidoqueen,main,Roca Afilada,100,-43.5,43.5
31-nidoqueen,main,Onda Tóxica,110,-31.3,41.3
31-nidoqueen,main,Tierra Viva,100,-13.9,33.3
31-nidoqueen,main,Colmillo Veneno,35,-19.4,24.7
31-nidoqueen,main,Frustración Shadow,10,-16.5,5
31-nidoqueen,main,Retribución Purified,35,-47.1,50
32-nidoran,fast,Picotazo,10,10,10
32-nidoran,fast,Picotazo Veneno,5,11.7,10
32-nidoran,main,Bomba Lodo,80,-21.7,41.7
32-nidoran,main,Cornada,40,-17.8,21.6
32-nidoran,main,Golpe Cuerpo,50,-17.4,26.3
32-nidoran,main,Frustración Shadow,10,-16.5,5
32-nidoran,main,Retribución Purified,35,-47.1,50
33-nidorino,fast,Puya Nociva,10,8.8,15
33-nidorino,fast,Picotazo Veneno,5,11.7,10
33-nidorino,main,Excavar,100,-10.6,21.3
33-nidorino,main,Bomba Lodo,80,-21.7,41.7
33-nidorino,main,Cornada,40,-17.8,21.6
33-nidorino,main,Rayo Hielo,90,-15.2,27.3
33-nidorino,main,Frustración Shadow,10,-16.5,5
33-nidorino,main,Retribución Purified,35,-47.1,50
34-nidoking,fast,Puya Nociva,10,8.8,15
34-nidoking,fast,Cola Férrea,15,6.4,13.6
34-nidoking,fast,Corte Furia Elite TM,3,15,7.5
34-nidoking,fast,Doble Patada,10,13,10
34-nidoking,main,Megacuerno,110,-45.5,50
34-nidoking,main,Terremoto,140,-27.8,46.7
34-nidoking,main,Onda Tóxica,110,-31.3,41.3
34-nidoking,main,Tierra Viva,100,-13.9,33.3
34-nidoking,main,Bucle Arena,60,-8.3,18
34-nidoking,main,Frustración Shadow,10,-16.5,5
34-nidoking,main,Retribución Purified,35,-47.1,50
173-cleffa,fast,Destructor,7,10,11.7
173-cleffa,fast,Cabezazo Zen,12,9.1,10.9
173-cleffa,main,Doble Rayo,75,-17.2,25.9
173-cleffa,main,Psicocarga,65,-12.2,24.1
173-cleffa,main,Hierba Lazo,90,-19.2,34.6
173-cleffa,main,Psíquico Elite TM,90,-17.9,32.1
173-cleffa,main,Golpe Cuerpo Elite TM,50,-17.4,26.3
35-clefairy,fast,Destructor,7,10,11.7
35-clefairy,fast,Cabezazo Zen,12,9.1,10.9
35-clefairy,main,Voz Cautivadora,70,-8.5,21.5
35-clefairy,main,Golpe Cuerpo,50,-17.4,26.3
35-clefairy,main,Fuerza Lunar,130,-25.6,40
36-clefable,fast,Destructor Elite TM,7,10,11.7
36-clefable,fast,Cabezazo Zen,12,9.1,10.9
36-clefable,fast,Rayo Carga,8,13.6,7.3
36-clefable,fast,Encanto,20,7.3,16
36-clefable,main,Brillo Mágico,100,-14.3,34.3
36-clefable,main,Psíquico,90,-17.9,32.1
36-clefable,main,Fuerza Lunar,130,-25.6,40
36-clefable,main,Puño Meteoro,100,-19.2,38.5
37-vulpix,fast,Ascuas,10,10,12
37-vulpix,fast,Ataque Rápido,8,12.5,10
37-vulpix,main,Lanzallamas,70,-22.7,38.2
37-vulpix,main,Nitrocarga,70,-8.7,22.1
37-vulpix,main,Golpe Cuerpo,50,-17.4,26.3
37-vulpix,main,Meteorobola,55,-20.6,41.3
37-vulpix,main,Frustración Shadow,10,-16.5,5
37-vulpix,main,Retribución Purified,35,-47.1,50
38-ninetales,fast,Finta,10,10,11.1
38-ninetales,fast,Giro Fuego,14,9.1,15.3
38-ninetales,fast,Ascuas Elite TM,10,10,12
38-ninetales,main,Onda Ígnea,95,-33.3,38
38-ninetales,main,Rayo Solar,180,-20.4,36.7
38-ninetales,main,Sofoco,160,-25,48
38-ninetales,main,Lanzallamas Elite TM,70,-22.7,38.2
38-ninetales,main,Llamarada Elite TM,140,-23.8,40
38-ninetales,main,Psicocarga,65,-12.2,24.1
38-ninetales,main,Meteorobola,55,-20.6,41.3
38-ninetales,main,Frustración Shadow,10,-16.5,5
38-ninetales,main,Retribución Purified,35,-47.1,50
174-igglybuff,fast,Destructor,7,10,14
174-igglybuff,fast,Finta,10,10,11.1
174-igglybuff,main,Bola Sombra,100,-16.7,33.3
174-igglybuff,main,Psíquico,90,-17.9,32.1
174-igglybuff,main,Voltio Cruel,90,-19.2,34.6
174-igglybuff,main,Golpe Cuerpo Elite TM,50,-17.4,31.6
39-jigglypuff,fast,Destructor,7,10,14
39-jigglypuff,fast,Finta,10,10,11.1
39-jigglypuff,main,Voz Cautivadora,70,-8.5,21.5
39-jigglypuff,main,Golpe Cuerpo Elite TM,50,-17.4,31.6
39-jigglypuff,main,Carantoña Elite TM,90,-17.2,37.2
39-jigglypuff,main,Brillo Mágico,100,-14.3,34.3
39-jigglypuff,main,Giro Bola,80,-15.2,24.2
40-wigglytuff,fast,Destructor,7,10,14
40-wigglytuff,fast,Finta,10,10,11.1
40-wigglytuff,fast,Encanto,20,7.3,16
40-wigglytuff,main,Brillo Mágico,100,-14.3,34.3
40-wigglytuff,main,Hiperrayo,150,-26.3,47.4
40-wigglytuff,main,Carantoña,90,-17.2,37.2
40-wigglytuff,main,Rayo Hielo,90,-15.2,27.3
41-zubat,fast,Mordisco,6,8,12
41-zubat,fast,Ataque Rápido,8,12.5,10
41-zubat,main,Colmillo Veneno,35,-19.4,24.7
41-zubat,main,Aire Afilado,60,-18.5,26.7
41-zubat,main,Rapidez,60,-17.9,21.4
41-zubat,main,Bomba Lodo Elite TM,80,-21.7,41.7
41-zubat,main,Frustración Shadow,10,-16.5,5
41-zubat,main,Retribución Purified,35,-47.1,50
42-golbat,fast,Mordisco,6,8,12
42-golbat,fast,Ataque Ala,8,11.3,12
42-golbat,main,Colmillo Veneno,35,-19.4,24.7
42-golbat,main,Bola Sombra,100,-16.7,33.3
42-golbat,main,Aire Afilado,60,-18.5,26.7
42-golbat,main,Viento Aciago Elite TM,50,-14.3,21.7
42-golbat,main,Frustración Shadow,10,-16.5,5
42-golbat,main,Retribución Purified,35,-47.1,50
169-crobat,fast,Mordisco,6,8,12
169-crobat,fast,Tajo Aéreo,14,8.3,14
169-crobat,main,Bola Sombra,100,-16.7,33.3
169-crobat,main,Bomba Lodo,80,-21.7,41.7
169-crobat,main,Aire Afilado,60,-18.5,26.7
169-crobat,main,Colmillo Veneno,35,-19.4,24.7
169-crobat,main,Veneno X,40,-22,32
169-crobat,main,Frustración Shadow,10,-16.5,5
169-crobat,main,Retribución Purified,35,-47.1,50
43-oddish,fast,Hoja Afilada,13,7,15.6
43-oddish,fast,Ácido,9,10,13.5
43-oddish,main,Bomba Germen,55,-15.7,31.4
43-oddish,main,Fuerza Lunar,130,-25.6,33.3
43-oddish,main,Bomba Lodo,80,-21.7,41.7
43-oddish,main,Frustración Shadow,10,-16.5,5
43-oddish,main,Retribución Purified,35,-47.1,50
44-gloom,fast,Hoja Afilada,13,7,15.6
44-gloom,fast,Ácido,9,10,13.5
44-gloom,main,Tormenta Floral,110,-38.5,50.8
44-gloom,main,Fuerza Lunar,130,-25.6,33.3
44-gloom,main,Bomba Lodo,80,-21.7,41.7
44-gloom,main,Frustración Shadow,10,-16.5,5
44-gloom,main,Retribución Purified,35,-47.1,50
45-vileplume,fast,Hoja Afilada,13,7,15.6
45-vileplume,fast,Ácido,9,10,13.5
45-vileplume,main,Tormenta Floral,110,-38.5,50.8
45-vileplume,main,Fuerza Lunar,130,-25.6,33.3
45-vileplume,main,Bomba Lodo,80,-21.7,41.7
45-vileplume,main,Rayo Solar,180,-20.4,44.1
45-vileplume,main,Frustración Shadow,10,-16.5,5
45-vileplume,main,Retribución Purified,35,-47.1,50
182-bellossom,fast,Hoja Afilada,13,7,15.6
182-bellossom,fast,Ácido,9,10,11.3
182-bellossom,fast,Semilladora,8,12.7,8.7
182-bellossom,main,Tormenta Floral,110,-38.5,50.8
182-bellossom,main,Brillo Mágico,100,-14.3,28.6
182-bellossom,main,Hoja Aguda,70,-13.8,35
182-bellossom,main,Frustración Shadow,10,-16.5,5
182-bellossom,main,Retribución Purified,35,-47.1,50
46-paras,fast,Arañazo,6,8,12
46-paras,fast,Picadura,5,12,12
46-paras,main,Veneno X,40,-22,26.7
46-paras,main,Tijera X,45,-20.6,33.8
46-paras,main,Bomba Germen,55,-15.7,31.4
47-parasect,fast,Picadura Elite TM,5,12,12
47-parasect,fast,Corte Furia,3,15,9
47-parasect,fast,Estoicismo,15,10,12
47-parasect,main,Veneno X,40,-22,26.7
47-parasect,main,Tijera X,45,-20.6,33.8
47-parasect,main,Rayo Solar,180,-20.4,44.1
48-venonat,fast,Picadura,5,12,12
48-venonat,fast,Confusión,20,9.4,12.5
48-venonat,main,Psicorrayo,70,-15.6,21.9
48-venonat,main,Colmillo Veneno,35,-19.4,24.7
48-venonat,main,Doble Rayo,75,-17.2,31
48-venonat,main,Frustración Shadow,10,-16.5,5
48-venonat,main,Retribución Purified,35,-47.1,50
49-venomoth,fast,Confusión,20,9.4,12.5
49-venomoth,fast,Acoso,10,12.7,10.9
49-venomoth,fast,Picadura Elite TM,5,12,12
49-venomoth,main,Zumbido,100,-13.5,32.4
49-venomoth,main,Psíquico,90,-17.9,32.1
49-venomoth,main,Viento Plata,70,-8.9,22.7
49-venomoth,main,Colmillo Veneno,35,-19.4,24.7
49-venomoth,main,Frustración Shadow,10,-16.5,5
49-venomoth,main,Retribución Purified,35,-47.1,50
50-diglett,fast,Arañazo,6,8,12
50-diglett,fast,Bofetón Lodo,18,8.6,15.4
50-diglett,fast,Disparo Lodo Event,5,11.7,10
50-diglett,main,Excavar,100,-10.6,25.5
50-diglett,main,Tumba Rocas,70,-15.6,21.9
50-diglett,main,Bomba Fango,55,-14.3,28.7
50-diglett,main,Frustración Shadow,10,-16.5,5
50-diglett,main,Retribución Purified,35,-47.1,50
51-dugtrio,fast,Golpe Bajo,7,11.4,10
51-dugtrio,fast,Bofetón Lodo,18,8.6,15.4
51-dugtrio,fast,Disparo Lodo Event,5,11.7,10
51-dugtrio,main,Terremoto,140,-27.8,46.7
51-dugtrio,main,Roca Afilada,100,-43.5,43.5
51-dugtrio,main,Bomba Fango,55,-14.3,28.7
51-dugtrio,main,Frustración Shadow,10,-16.5,5
51-dugtrio,main,Retribución Purified,35,-47.1,50
52-meowth,fast,Mordisco,6,8,12
52-meowth,fast,Arañazo,6,8,14.4
52-meowth,main,Pulso Umbrío,80,-16.7,26.7
52-meowth,main,Tajo Umbrío,50,-15,22.7
52-meowth,main,Juego Sucio,70,-25,35
52-meowth,main,Golpe Cuerpo Elite TM,50,-17.4,31.6
52-meowth,main,Frustración Shadow,10,-16.5,6
52-meowth,main,Retribución Purified,35,-47.1,60
53-persian,fast,Arañazo,6,8,14.4
53-persian,fast,Finta,10,10,11.1
53-persian,main,Joya de Luz,80,-17.2,27.6
53-persian,main,Carantoña,90,-17.2,31
53-persian,main,Juego Sucio,70,-25,35
53-persian,main,Tajo Umbrío Elite TM,50,-15,22.7
53-persian,main,Vendetta,100,-45.5,45.5
53-persian,main,Frustración Shadow,10,-16.5,6
53-persian,main,Retribución Purified,35,-47.1,60
54-psyduck,fast,Pistola Agua,5,10,12
54-psyduck,fast,Cabezazo Zen,12,9.1,10.9
54-psyduck,main,Tajo Cruzado,50,-33.3,33.3
54-psyduck,main,Psicorrayo,70,-15.6,21.9
54-psyduck,main,Acua Cola,50,-17.4,31.6
54-psyduck,main,Frustración Shadow,10,-16.5,5
54-psyduck,main,Retribución Purified,35,-47.1,50
55-golduck,fast,Pistola Agua,5,10,12
55-golduck,fast,Confusión,20,9.4,12.5
55-golduck,main,Rayo Hielo,90,-15.2,27.3
55-golduck,main,Hidrobomba,130,-30.3,47.3
55-golduck,main,Psíquico,90,-17.9,32.1
55-golduck,main,Tajo Cruzado,50,-33.3,33.3
55-golduck,main,Rayo Burbuja,45,-17.4,28.4
55-golduck,main,Sincrorruido,80,-19.2,30.8
55-golduck,main,Frustración Shadow,10,-16.5,5
55-golduck,main,Retribución Purified,35,-47.1,50
56-mankey,fast,Golpe Kárate,8,12.5,12
56-mankey,fast,Arañazo,6,8,12
56-mankey,main,Tajo Cruzado,50,-33.3,40
56-mankey,main,Puntapié,40,-17.4,25.3
56-mankey,main,Demolición,40,-20.6,30
57-primeape,fast,Patada Baja,6,10,12
57-primeape,fast,Golpe Kárate Elite TM,8,12.5,12
57-primeape,fast,Contraataque,12,8.9,16
57-primeape,main,Tajo Cruzado Elite TM,50,-33.3,40
57-primeape,main,Puntapié,40,-17.4,25.3
57-primeape,main,Tajo Umbrío,50,-15,22.7
57-primeape,main,A Bocajarro,100,-43.5,52.2
57-primeape,main,Puño Hielo,50,-17.4,26.3
58-growlithe,fast,Mordisco,6,8,12
58-growlithe,fast,Ascuas,10,10,12
58-growlithe,main,Rueda Fuego,60,-18.5,26.7
58-growlithe,main,Lanzallamas,70,-22.7,38.2
58-growlithe,main,Golpe Cuerpo,50,-17.4,26.3
58-growlithe,main,Frustración Shadow,10,-16.5,5
58-growlithe,main,Retribución Purified,35,-47.1,50
59-arcanine,fast,Colmillo Ígneo,12,8.9,16
59-arcanine,fast,Alarido,12,12.7,10.9
59-arcanine,fast,Mordisco Elite TM,6,8,12
59-arcanine,fast,Colmillo Rayo,12,13.3,10
59-arcanine,main,Llamarada,140,-23.8,40
59-arcanine,main,Voltio Cruel,90,-19.2,34.6
59-arcanine,main,Triturar,70,-10.3,21.9
59-arcanine,main,Lanzallamas,70,-22.7,38.2
59-arcanine,main,Terratemblor Elite TM,80,-14.3,22.9
59-arcanine,main,Psicocolmillo,30,-27.5,25
59-arcanine,main,Frustración Shadow,10,-16.5,5
59-arcanine,main,Retribución Purified,35,-47.1,50
60-poliwag,fast,Disparo Lodo,5,11.7,8.3
60-poliwag,fast,Burbuja,12,11.7,12
60-poliwag,main,Rayo Burbuja,45,-17.4,28.4
60-poliwag,main,Bomba Fango,55,-14.3,23.9
60-poliwag,main,Golpe Cuerpo,50,-17.4,26.3
60-poliwag,main,Frustración Shadow,10,-16.5,5
60-poliwag,main,Retribución Purified,35,-47.1,50
61-poliwhirl,fast,Disparo Lodo,5,11.7,8.3
61-poliwhirl,fast,Burbuja,12,11.7,12
61-poliwhirl,main,Rayo Burbuja,45,-17.4,28.4
61-poliwhirl,main,Bomba Fango,55,-14.3,23.9
61-poliwhirl,main,Hidropulso,70,-15.6,26.3
61-poliwhirl,main,Escaldar Elite TM,80,-13.5,25.9
61-poliwhirl,main,Frustración Shadow,10,-16.5,5
61-poliwhirl,main,Retribución Purified,35,-47.1,50
62-poliwrath,fast,Burbuja,12,11.7,12
62-poliwrath,fast,Golpe Roca,15,7.7,13.8
62-poliwrath,fast,Disparo Lodo,5,11.7,8.3
62-poliwrath,main,Puño Hielo,50,-17.4,26.3
62-poliwrath,main,Hidrobomba,130,-30.3,47.3
62-poliwrath,main,Puño Dinámico,90,-18.5,40
62-poliwrath,main,Puño Incremento,50,-16.5,30
62-poliwrath,main,Sumisión Elite TM,60,-22.7,32.7
62-poliwrath,main,Escaldar,80,-13.5,25.9
62-poliwrath,main,Frustración Shadow,10,-16.5,5
62-poliwrath,main,Retribución Purified,35,-47.1,50
186-politoed,fast,Disparo Lodo,5,11.7,8.3
186-politoed,fast,Burbuja,12,11.7,12
186-politoed,main,Ventisca,130,-32.3,41.9
186-politoed,main,Hidrobomba,130,-30.3,47.3
186-politoed,main,Surf,65,-29.4,45.9
186-politoed,main,Terremoto Elite TM,140,-27.8,38.9
186-politoed,main,Meteorobola,55,-20.6,41.3
186-politoed,main,Frustración Shadow,10,-16.5,5
186-politoed,main,Retribución Purified,35,-47.1,50
63-abra,fast,Cabezazo Zen,12,9.1,13.1
63-abra,fast,Rayo Carga,8,13.6,7.3
63-abra,main,Psicocarga,65,-12.2,28.9
63-abra,main,Bola Sombra,100,-16.7,33.3
63-abra,main,Doble Rayo,75,-17.2,25.9
63-abra,main,Frustración Shadow,10,-16.5,5
63-abra,main,Retribución Purified,35,-47.1,50
64-kadabra,fast,Psicocorte,5,13.3,10
64-kadabra,fast,Confusión,20,9.4,15
64-kadabra,main,Psicorrayo,70,-15.6,26.3
